Gene	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F
SNHG1	-0.09996	-1.46711	0.64627	-0.74272	0.83639	0.51989
CTDSPL	-1.64458	-1.42803	-0.35404	-0.00600	1.87802	0.94278
FKBP7	-3.26378	-0.92516	-1.45835	1.25607	1.09952	1.51490
SORD	-0.23309	-0.59750	0.46587	0.16120	0.33431	1.68171
RFC5	-1.81819	-0.31341	-1.17912	1.44153	1.62103	1.74138
RNASEH1	-1.44007	-0.51624	1.38589	0.61521	0.27770	1.30799
CRTAP	-1.07210	1.00135	-0.52295	2.09968	0.81306	0.90886
EIF4B	-0.66517	-1.95253	0.03531	-0.02202	0.66452	1.65875
CADPS	-2.78232	-1.01119	0.40467	0.42729	0.39832	0.82676
MGAT5	-1.67484	0.90537	-0.62552	0.02834	1.35184	1.60109
PAAF1	-1.13196	-1.58753	-0.39508	1.04535	1.86552	0.30227
SLC7A6	-0.79168	0.01904	0.16672	-0.11338	-0.26853	0.75908
CEP76	-0.24863	-2.60633	-0.52144	1.03894	0.85883	0.18501
USP6NL	-0.99127	-1.09887	-2.28462	-0.82065	-0.00213	1.18549
TSEN15	-1.72851	-0.23367	-1.05755	1.63532	3.36001	0.19331
CADM1	0.00100	1.11636	-1.93193	-0.56470	1.70684	1.00847
SH3BP5	-2.97945	-1.52142	-0.75701	1.25425	-0.01400	1.56645
IFRD2	-0.94153	-0.48365	-0.84763	-0.14044	0.63875	1.10732
KIF2A	0.00719	-0.79584	0.25596	0.75994	0.74569	2.43458
TLE3	0.05962	-2.11125	0.64601	0.31768	1.52221	0.90688
CTHRC1	-1.73833	0.77463	0.31119	0.35049	-0.95815	0.74980
INHBE	0.27579	-1.17948	0.65121	0.05656	1.35022	1.16457
PRR5L	-0.17686	-1.50791	-1.29592	0.84611	1.06217	0.53699
SLC7A8	-1.26787	-1.40936	0.39096	1.28765	1.29326	2.23697
SORBS2	-2.95826	0.93430	-1.89842	1.65310	1.02269	1.42490
NLE1	-0.40654	-0.41148	-0.43125	-0.21917	-0.82637	1.38001
CAD	0.23546	-0.67168	-1.24526	-0.38430	0.15363	0.57590
MRPS30	-0.25864	-0.61044	-0.53554	-0.95278	-0.35194	1.86921
FOXRED2	-1.43930	-0.53610	-0.46824	1.57658	0.75793	1.67041
NUAK2	0.80411	-1.33632	-0.15372	-0.57750	1.09764	-0.99022
DSTYK	-0.56881	-1.42992	-0.60499	0.13918	3.32146	0.71989
FYN	-0.38054	0.39201	-1.51148	0.62847	0.56236	0.56509
PDZD8	-1.13152	0.89365	-0.04389	-0.23138	2.06186	1.47668
MARCKSL1	0.06556	-1.49957	0.05894	-0.25171	2.33119	0.47431
LEF1	-0.09235	-0.98560	2.31588	-0.18541	0.57291	1.42343
PHLDB2	0.84569	-0.11624	0.29301	0.47180	0.86879	-0.94131
KIF26B	-0.25078	-0.59134	-0.49267	-1.00069	0.82187	1.34016
FAM171B	-0.27525	1.53262	-0.72379	0.96920	-1.36435	1.24969
NHSL1	-1.14511	-0.34118	1.16394	-0.23145	0.87236	1.88429
CDK8	-1.61686	0.71427	0.52335	-0.13759	-0.30989	2.89506
PLCG1	-2.80206	0.34444	-0.92370	-0.47963	1.33511	0.22780
PRKD3	0.14590	-0.57785	-1.40186	1.79516	1.06655	0.98581
AKR1B10	-1.99499	-1.59474	-0.68010	-0.17053	0.59250	1.46287
BHLHE41	-2.84213	0.62035	-0.04294	-0.16523	-0.36811	-0.09578
HSD17B2	-1.51439	-0.89432	0.85519	0.84995	-0.74195	1.05579
ARL14	-0.45935	-1.78450	1.14359	1.12831	-1.35818	2.38214
PKIB	-2.24074	-0.64428	-0.87547	0.12592	-0.01676	1.57579
FXYD3	-0.48084	-0.68035	0.28836	0.50915	0.37171	0.31775
GALNT3	-1.26206	-1.63318	-0.09392	-0.59948	-0.79118	1.14069
ATP1B1	-0.67784	-0.29257	0.04743	1.30878	1.91309	2.04609
GCNT3	-0.99539	-1.01036	-0.28155	-0.50934	1.15074	-0.54847
LRP10	-1.77988	-0.20487	0.15119	1.59325	-0.29879	0.68900
SEMA4B	-1.94132	-3.14731	0.30273	0.93253	0.50038	1.08121
ASPH	-1.42210	-1.49345	0.26912	-0.00217	-1.07543	-1.10364
PLAUR	-2.83082	-1.46854	-0.90273	0.55305	0.46923	0.94949
CD59	-2.72223	0.07305	1.04543	1.43750	0.51273	-1.29795
STYK1	-1.69755	0.04891	1.83351	0.99577	0.10173	3.51078
FA2H	-0.34204	-0.75883	-0.26134	-1.10039	0.01945	1.67528
F3	-1.97303	-1.76313	-0.90358	0.50258	1.52376	1.17724
LIPH	-1.47815	-1.26267	-1.71970	0.67553	0.06936	0.99525
B3GNT3	-0.79930	-0.58217	-0.67253	0.39683	1.14332	0.75927
NQO1	-1.60222	-1.05111	-0.17086	-0.18057	0.26548	1.81668
APOL1	0.73662	-0.29582	1.61607	-0.05956	-0.83567	-0.33962
S100A6	-1.13174	0.19087	0.48820	0.17004	1.79058	1.20093
EMP1	-0.92626	0.41944	0.28663	0.72223	0.40666	2.39063
CLIC1	-2.65561	-2.04022	0.66483	0.61309	0.06709	0.20322
GCLM	-0.52242	-0.56040	-1.60984	-0.00891	1.94356	0.50030
TSPAN1	-0.33293	-0.91714	-0.62143	-0.47997	1.71235	1.09737
POLD4	-1.68171	0.79342	-2.86981	3.06068	-1.48175	1.00146
ELF3	-0.87046	-1.47473	0.22434	-0.18669	1.76660	1.21684
FTH1	0.37708	-1.13834	-0.59712	1.14018	-0.14570	0.01226
FHL2	-2.81660	-1.19369	0.42535	-0.15909	-0.05624	1.19889
PLAU	-2.97848	-1.36494	1.35543	-0.25869	1.26175	1.05343
TNFRSF1A	-3.07108	-1.09129	-0.74898	-1.07164	0.48972	-0.11014
GBP3	-0.50537	0.54431	0.85222	0.31032	2.38321	1.18239
NTN4	-0.93534	-1.08118	0.44985	1.47358	0.82644	1.02329
EHD2	-1.38782	-0.28902	1.38227	0.98085	0.78837	2.22514
DHRS3	-2.47594	-0.32160	-0.65343	-0.48706	0.33316	0.55665
RRAS	-0.30339	0.52629	-0.06800	0.38054	-1.41177	1.05587
GPRC5A	-1.62908	0.74555	0.22734	-0.24600	0.38067	0.91930
SLC20A1	-2.39842	-0.23083	-0.57643	0.37637	-0.40840	0.48850
FAM114A1	-0.27030	-1.34651	0.34862	2.12762	0.73146	0.89572
TSPAN15	-1.55375	0.03782	0.29259	-1.61453	-0.69543	2.43445
APOL6	0.44143	-0.35177	0.18590	-0.50202	-0.48923	-0.08570
BCL10	0.44374	0.37724	-0.32527	-0.58006	0.92650	0.27924
DPYD	-0.47721	-0.51857	1.04749	1.32946	0.98515	0.62365
SDC4	-0.35339	-0.97163	0.58800	1.55315	0.30859	0.01617
APOL2	0.44113	-0.02855	0.05626	0.19890	-0.06253	1.11736
TIMP4	-0.93157	-0.38757	0.63791	-0.12480	-0.43839	1.21309
ITGA3	-1.86302	0.27040	-0.63885	-0.12813	0.23507	0.57878
RHOC	-1.22719	0.03423	-0.56355	1.88633	1.29952	-0.09999
AKR1C3	-3.24281	1.18928	-0.11962	0.89957	0.84294	2.28108
UPP1	-1.82935	-0.88484	-0.19904	0.74368	-0.31825	0.98683
SP100	-0.22944	-1.25189	1.23626	-1.10198	-0.13641	0.45060
TXNRD1	-1.51957	-1.23080	1.07552	1.73474	-1.45889	0.14087
DUSP5	-1.52893	-0.71689	0.25392	1.81188	1.93345	1.36665
HBEGF	-1.06430	-0.54168	-0.93147	0.16577	1.62184	0.60756
PLAT	-0.46671	-0.93807	-0.09034	0.32057	1.24295	0.77402
MGLL	-0.41117	-3.09520	-0.44589	-0.90028	0.37476	2.30752
SAMD9	-0.91109	-0.75229	-0.33203	-0.32176	0.58862	0.59357
PPARG	-1.91821	-0.67994	-0.63767	-0.53933	1.57725	-0.42355
PSMB9	0.31625	0.87647	0.22033	0.66804	0.15636	1.14262
SVIL	-2.33998	-0.98273	0.53423	0.72520	-1.02744	0.53396
SP110	-1.34501	-2.15368	-0.91154	-0.72459	-0.46694	2.22278
APOL3	0.32987	-1.37293	0.91563	-0.94856	-0.17521	0.84526
IFIT1	-0.47522	0.18049	-0.37435	0.17464	0.83251	0.97596
IFIT3	0.43490	0.04756	-1.40936	0.29493	0.06210	1.16917
DUSP4	-1.36811	0.05551	-0.91975	-0.73234	-1.47551	1.35076
IRF1	-0.79612	-0.51142	0.31351	0.39581	0.08497	0.82749
BIRC3	-1.88109	-1.42004	-1.83770	1.43275	1.79571	-0.12617
SGK1	-0.30049	0.83824	-1.18617	0.76050	-0.53866	2.06720
TAPBPL	-0.69494	-1.08400	0.02890	1.45187	-0.03031	1.61548
IL15RA	-2.86781	-0.88454	-1.50340	0.33251	1.57329	0.89738
IRF2BPL	-0.95670	-1.02666	-0.67917	2.74199	1.11975	1.96752
MYOF	-2.14431	-0.24873	-0.99922	0.66945	0.37525	1.68592
CDC42EP4	-2.25931	-1.84882	-0.14708	0.56827	0.14736	1.73026
IFIT2	-0.81023	-1.32183	0.60111	-1.22607	0.91530	-0.04940
IFI35	-0.14102	-0.15402	-0.32252	1.25265	1.43997	2.48266
ERRFI1	-3.12361	-0.20418	-0.52887	-0.29194	0.74344	-1.08410
HPSE	-1.58158	-0.75232	0.44909	-0.69532	-1.50321	1.44428
DDX60	-1.88813	-0.52670	-0.41628	-0.28199	0.67816	1.13429
OASL	-1.13010	-2.59283	-0.81569	1.59395	-0.37232	1.22098
PARP9	-1.19579	-1.59782	0.51056	0.81617	0.33501	1.72573
CMPK2	-1.14930	-1.95525	-0.28779	-1.21736	0.86259	1.96250
TRANK1	-0.44334	-2.23557	-1.45867	1.45154	0.68489	2.10696
DTX3L	0.91155	-1.59809	0.51112	1.22580	0.89437	1.43682
PLAC8	-1.32610	-0.02799	0.15917	-0.19400	0.58190	-0.11686
ISG15	0.72510	-1.10472	0.14445	0.67894	-0.09769	0.20227
ZNFX1	-1.20121	-1.11495	-0.90384	1.19230	0.09982	1.02224
TDRD7	-2.32111	0.15155	0.21748	-0.16456	1.90840	2.26675
NMI	-2.67703	-0.23777	-0.29225	-0.01901	0.29892	1.17610
SP140L	-1.29210	0.44090	-0.82270	-0.13453	2.61235	2.27433
EXT1	-2.43266	-0.24347	1.50285	-0.21674	2.06670	0.06322
LDLR	0.37155	-1.06929	-1.24101	1.24582	1.71162	0.26996
IRF9	-1.29633	-0.96460	-1.07806	0.32020	1.85946	0.51033
TM4SF1	-1.22973	-2.27218	-0.01457	-0.09573	1.47633	0.96922
RGS2	-2.33944	-0.84643	-1.09776	-1.08744	-0.07271	2.60284
CSRNP1	-1.08470	-1.14020	0.33671	0.22257	0.91581	-0.13021
CYSTM1	-0.30531	-0.39565	-1.13592	1.78863	0.38290	1.59669
G6PD	-2.28624	-0.50680	-0.06489	-0.07708	1.35197	0.59488
FLNB	-0.98381	-1.48820	1.80061	0.98903	1.81565	1.89334
CASP1	-0.99100	-0.37438	1.13185	-1.12026	0.06163	0.06451
TOB1	-0.41531	-0.90023	-0.39545	0.33568	0.44428	2.57387
PRRG1	-1.21266	-0.82445	0.39067	0.03623	1.24606	0.94611
MVP	-2.05478	-1.11594	-0.80531	1.00565	1.52238	0.46952
ABCC3	-0.89441	-0.95160	-0.03888	-0.25275	1.21077	3.21072
S100A2	-2.06248	-0.48705	0.17082	-0.63521	0.88711	0.68631
KIAA1217	-1.80428	-0.35107	-0.87622	0.06195	2.63557	0.67563
EHD1	-1.21703	-1.68747	-0.60879	0.61457	-0.28803	0.47503
PSCA	-1.92377	-0.06144	-1.71951	-0.30267	0.07776	1.15949
NCEH1	-1.12066	-1.39865	-0.65574	-1.11022	-0.49278	0.90473
RBMS2	-1.66670	-1.65331	0.28747	0.57792	1.91726	1.88795
RBM47	0.01538	-0.25228	0.04944	-0.63955	0.49620	1.68721
ATP2B4	-1.43236	-1.23627	-0.40087	0.70763	0.39610	1.68644
RASSF6	-1.19659	-0.66385	-1.16404	0.19753	-0.03368	0.54530
CIB1	-0.66815	-0.74501	-0.81942	0.53518	-0.26232	1.68043
ETFDH	-1.16881	-1.14064	-0.11979	0.00521	2.23670	2.51242
TFPI	0.01271	-0.30847	0.12726	0.32581	1.25007	0.69516
LIMA1	-0.89553	-1.99662	0.45240	1.20293	0.04060	0.71042
ANGPTL4	-0.96608	-0.94452	0.04148	-0.75682	1.31757	2.75574
CASP4	-0.54648	-0.96824	0.36455	-0.60638	0.07222	0.49709
LAMA3	-0.00135	-1.00755	-1.50147	-1.00214	0.95240	1.41296
OPTN	-1.86925	-0.65052	-0.59953	-1.95867	0.33552	0.78080
UGCG	0.43127	-1.94155	0.01738	0.10502	0.61897	0.61096
ANXA5	0.00662	-0.76847	-1.09619	0.26391	0.84391	1.73688
FZD4	0.88564	-0.60620	-1.50232	1.37682	0.56943	1.50781
GLRX	-1.45282	0.93482	-0.22893	1.27090	1.42348	2.08575
SLC25A20	-0.63643	-1.78632	0.36538	-0.89301	1.39933	0.09617
CLDN1	-0.10575	-1.45539	-0.43316	0.10532	-0.38083	0.96488
LIF	-1.05728	-0.62933	-1.15499	-0.48330	0.40895	1.81143
F2RL1	-0.56977	1.00544	-0.89654	0.43912	0.91300	0.61322
CAV1	-0.42382	-1.05025	0.07150	-0.28667	0.11436	0.46878
F2R	-2.40751	-1.89693	0.15349	0.35041	0.09896	0.56882
BAG3	-0.91321	-1.03935	0.10031	-1.84388	1.94451	1.05918
GRK5	-1.79196	-0.87559	0.06335	-0.53753	0.76067	1.07564
CLIP2	-1.40959	-2.53079	0.25880	0.27023	0.77233	3.32559
PLEKHA6	-0.41699	-0.93616	-0.39790	1.98533	0.51089	1.11944
SMAD3	-1.75312	-3.21056	-0.72921	-1.91538	0.46020	0.89385
RANDOM1	-0.45267	1.06032	-1.80657	-1.47690	-0.16802	-0.87881
RANDOM2	-2.40924	-0.63166	-0.91315	-0.37548	0.88631	0.36547
RANDOM3	-0.02813	0.34495	-0.28054	0.22849	0.33461	-0.28568
RANDOM4	1.79230	0.43146	0.08358	1.11980	-0.78656	-0.95336
RANDOM5	-0.30994	-0.17557	-0.98260	-0.04421	0.33039	0.26934
RANDOM6	-0.24837	-0.48570	0.94891	-1.36726	-0.95520	0.70285
RANDOM7	0.84298	0.86905	-0.09214	0.32017	0.41273	-0.22377
RANDOM8	-0.50011	0.21790	1.06560	0.13126	-0.76644	-1.21631
RANDOM9	0.21005	-0.18625	-0.16013	0.44328	-1.96735	-0.05259
RANDOM10	-0.96579	0.87605	-0.98527	0.00552	0.15587	0.86584
RANDOM11	-0.62573	-0.55157	-0.62099	1.69254	1.60262	-0.10717
RANDOM12	-0.12774	-0.75601	-1.98996	-0.49204	-1.06833	0.75451
RANDOM13	-0.34361	-0.22050	0.99347	0.36792	1.02305	-0.19629
RANDOM14	2.05849	0.48990	0.44231	-0.97355	1.21983	0.80921
RANDOM15	-0.28375	-1.42102	-0.85707	0.76212	0.65158	-0.30898
RANDOM16	-0.45924	0.59575	-0.18265	-2.04038	0.02183	1.82234
RANDOM17	-0.49106	1.17189	2.61447	-0.51427	1.03800	-1.10300
RANDOM18	0.56176	-0.36005	-0.44519	-0.91200	-0.65894	0.81795
RANDOM19	0.24600	-0.56014	0.16245	-0.30575	-0.95431	0.05014
RANDOM20	1.01318	0.12920	1.36808	0.54310	0.70156	0.25235
RANDOM21	1.81427	1.49821	-0.17108	-0.88037	0.50229	-0.96604
RANDOM22	0.97550	-1.28379	0.02352	0.08380	-0.20027	-0.56580
RANDOM23	-0.29793	-1.90287	-0.04428	-0.61303	0.85303	1.39888
RANDOM24	-0.80008	-0.30141	0.27349	-0.03062	1.29087	0.84909
RANDOM25	1.36617	1.05122	-0.18722	-0.17941	-1.70783	-0.89270
RANDOM26	0.10641	-0.30950	-0.48659	0.44234	-0.29382	-1.36935
RANDOM27	-0.08678	-0.81975	-0.05562	0.56093	0.16599	0.25031
RANDOM28	-0.32987	-2.60225	-2.00643	2.04178	-0.60182	0.05842
RANDOM29	-1.60621	0.38780	0.02442	-1.10093	2.16331	-1.32518
RANDOM30	1.32965	0.11415	1.49817	-0.87374	-0.54928	-0.11047
RANDOM31	1.24856	1.79096	-1.44362	-0.21822	1.13622	0.12054
RANDOM32	-0.04901	1.00933	0.30700	-0.23871	0.96984	1.78227
RANDOM33	-0.29843	0.23933	-1.62328	0.63462	0.13649	-0.23731
RANDOM34	-0.12353	0.34518	0.97527	0.59842	-0.08592	-0.01960
RANDOM35	0.36505	1.64550	-0.52491	-1.12968	-0.81399	-0.78422
RANDOM36	-0.19964	-0.58055	0.92637	0.56385	0.21095	1.23845
RANDOM37	-1.44897	0.82961	-0.56833	0.16026	0.11801	-0.56466
RANDOM38	-0.54156	1.20338	1.97802	-0.85880	-0.21681	0.85933
RANDOM39	0.66044	-0.17686	0.64838	-0.11677	-0.47826	-0.52110
RANDOM40	0.93524	-0.33617	-0.40503	-0.08476	0.18564	0.32257
RANDOM41	-1.17335	0.04129	0.96178	-1.10513	0.80072	-0.32520
RANDOM42	0.62385	-0.08865	-1.02121	-0.06560	-0.45108	0.39320
RANDOM43	1.77546	0.06060	-0.37248	0.04008	-1.11637	0.09218
RANDOM44	-1.22905	-0.68514	0.06259	0.90386	-2.10504	0.92724
RANDOM45	-0.48870	-0.32965	-0.08545	-0.07495	0.78279	-0.21311
RANDOM46	-1.07160	1.09450	-0.84214	0.25305	-1.58445	0.48333
RANDOM47	2.15384	0.21789	-0.07817	-0.13324	0.34045	0.63394
RANDOM48	1.30001	0.16527	-0.66201	-2.54940	-1.15239	-0.09751
RANDOM49	-0.87950	0.51273	-1.62724	-0.72966	0.38708	0.55815
RANDOM50	1.97355	-0.07533	0.40646	-0.21220	-0.64304	0.45477
RANDOM51	-1.90604	-1.42525	-1.12050	-1.67541	-0.24928	1.16891
RANDOM52	0.63354	2.20078	0.52488	-0.48749	1.07109	0.32899
RANDOM53	-0.80831	0.10005	1.27102	-0.89822	-0.64109	-0.55329
RANDOM54	-1.21206	0.18373	1.20577	-1.78377	1.18943	0.28816
RANDOM55	-1.21018	0.04776	-1.15677	0.37796	3.02338	0.24469
RANDOM56	0.62363	-0.95626	0.59405	-0.78709	-0.54026	0.67027
RANDOM57	-0.53694	0.31284	-0.57834	-1.33790	-2.14846	-1.38722
RANDOM58	1.29136	-0.57550	2.12509	0.06552	0.50466	0.97559
RANDOM59	-0.12172	-1.53643	1.49097	1.20992	0.58519	1.27516
RANDOM60	-0.28154	0.70943	-0.26967	0.29080	-0.71770	0.59348
RANDOM61	-0.09444	1.00931	0.19282	0.08812	-1.37486	1.18851
RANDOM62	1.59078	0.65581	-1.56615	0.83365	0.21583	-0.02367
RANDOM63	1.67349	-1.49313	1.31253	0.44580	0.04517	1.40245
RANDOM64	-0.47718	0.32831	-1.05864	0.65032	0.68045	-0.98552
RANDOM65	-1.08085	-0.54898	-0.70419	-0.97022	-0.08769	-1.34639
RANDOM66	-1.28772	-0.60001	-0.45822	-0.76101	-2.32337	1.33928
RANDOM67	-0.08139	0.66888	1.28866	1.60016	-1.18470	0.14816
RANDOM68	-1.28974	-1.71392	-0.49418	-0.17052	-0.28170	0.88191
RANDOM69	-0.70718	-1.06712	-0.26808	-0.91757	-0.61671	-0.65585
RANDOM70	-0.40968	0.00022	0.66939	-0.42188	1.22115	-0.84836
RANDOM71	0.73319	1.01158	-2.39255	-1.78137	-0.18387	1.15798
RANDOM72	0.14980	0.79926	-0.62870	1.15716	-0.90103	-0.09829
RANDOM73	0.41615	0.27790	-0.77826	-0.19109	-0.67303	-0.46067
RANDOM74	-0.23449	-0.59055	1.00705	-0.37004	-0.05831	1.07731
RANDOM75	0.53335	-0.56542	-0.43714	-0.74050	-0.49373	0.91713
RANDOM76	0.28602	0.42297	-0.18028	-0.94624	-0.03658	0.64655
RANDOM77	0.79737	0.93626	0.29698	-1.40220	1.35186	0.51019
RANDOM78	-0.14276	-0.73561	-1.35342	0.90479	1.16218	0.77824
RANDOM79	-0.22289	-0.61524	-0.56053	-0.93398	1.11796	-0.07166
RANDOM80	0.33788	1.35772	-1.15368	-0.04363	-1.13278	0.55884
RANDOM81	-1.28863	1.54077	-0.80261	-0.58695	-1.39652	1.24047
RANDOM82	-0.71784	0.01623	1.41950	0.51554	-1.45790	0.90852
RANDOM83	-0.38682	0.17499	-0.23551	-0.03915	-1.53165	0.45607
RANDOM84	-0.69939	0.36840	1.41746	0.84555	-0.46268	0.57954
RANDOM85	0.56432	1.61402	-1.24446	0.61837	1.07298	1.01493
RANDOM86	1.54266	0.82508	0.17153	-0.50362	-0.36642	0.11615
RANDOM87	-0.81589	-0.47616	-1.75853	-0.32425	-0.81958	-0.93565
RANDOM88	1.67237	-1.42451	0.05267	-0.09257	0.91522	-0.75094
RANDOM89	-0.23273	-1.70062	0.52434	0.10835	-1.71085	0.40787
RANDOM90	-0.92884	0.16657	-0.02717	-1.43700	-0.28273	-0.17701
RANDOM91	-1.48949	-0.42287	1.23468	0.14647	-1.14500	-1.11332
